,acronym
0,FRP1
1,FRP2/3
2,FRP5
3,FRP6a
4,FRP6b
5,MOp1
6,MOp2/3
7,MOp5
8,MOp6a
9,MOp6b
10,MOs1
11,MOs2/3
12,MOs5
13,MOs6a
14,MOs6b
15,SSp-n1
16,SSp-n2/3
17,SSp-n4
18,SSp-n5
19,SSp-n6a
20,SSp-n6b
21,SSp-bfd1
22,SSp-bfd2/3
23,SSp-bfd4
24,SSp-bfd5
25,SSp-bfd6a
26,SSp-bfd6b
27,SSp-ll1
28,SSp-ll2/3
29,SSp-ll4
30,SSp-ll5
31,SSp-ll6a
32,SSp-ll6b
33,SSp-m1
34,SSp-m2/3
35,SSp-m4
36,SSp-m5
37,SSp-m6a
38,SSp-m6b
39,SSp-ul1
40,SSp-ul2/3
41,SSp-ul4
42,SSp-ul5
43,SSp-ul6a
44,SSp-ul6b
45,SSp-tr1
46,SSp-tr2/3
47,SSp-tr4
48,SSp-tr5
49,SSp-tr6a
50,SSp-tr6b
51,SSp-un1
52,SSp-un2/3
53,SSp-un4
54,SSp-un5
55,SSp-un6a
56,SSp-un6b
57,SSs1
58,SSs2/3
59,SSs4
60,SSs5
61,SSs6a
62,SSs6b
63,GU1
64,GU2/3
65,GU4
66,GU5
67,GU6a
68,GU6b
69,VISC1
70,VISC2/3
71,VISC4
72,VISC5
73,VISC6a
74,VISC6b
75,AUDd1
76,AUDd2/3
77,AUDd4
78,AUDd5
79,AUDd6a
80,AUDd6b
81,AUDp1
82,AUDp2/3
83,AUDp4
84,AUDp5
85,AUDp6a
86,AUDp6b
87,AUDpo1
88,AUDpo2/3
89,AUDpo4
90,AUDpo5
91,AUDpo6a
92,AUDpo6b
93,AUDv1
94,AUDv2/3
95,AUDv4
96,AUDv5
97,AUDv6a
98,AUDv6b
99,VISal1
100,VISal2/3
101,VISal4
102,VISal5
103,VISal6a
104,VISal6b
105,VISam1
106,VISam2/3
107,VISam4
108,VISam5
109,VISam6a
110,VISam6b
111,VISl1
112,VISl2/3
113,VISl4
114,VISl5
115,VISl6a
116,VISl6b
117,VISp1
118,VISp2/3
119,VISp4
120,VISp5
121,VISp6a
122,VISp6b
123,VISpl1
124,VISpl2/3
125,VISpl4
126,VISpl5
127,VISpl6a
128,VISpl6b
129,VISpm1
130,VISpm2/3
131,VISpm4
132,VISpm5
133,VISpm6a
134,VISpm6b
135,VISli1
136,VISli2/3
137,VISli4
138,VISli5
139,VISli6a
140,VISli6b
141,VISpor1
142,VISpor2/3
143,VISpor4
144,VISpor5
145,VISpor6a
146,VISpor6b
147,ACAd1
148,ACAd2/3
149,ACAd5
150,ACAd6a
151,ACAd6b
152,ACAv1
153,ACAv2/3
154,ACAv5
155,ACAv6a
156,ACAv6b
157,PL1
158,PL2/3
159,PL5
160,PL6a
161,PL6b
162,ILA1
163,ILA2/3
164,ILA5
165,ILA6a
166,ILA6b
167,ORBl1
168,ORBl2/3
169,ORBl5
170,ORBl6a
171,ORBl6b
172,ORBm1
173,ORBm2/3
174,ORBm5
175,ORBm6a
176,ORBm6b
177,ORBvl1
178,ORBvl2/3
179,ORBvl5
180,ORBvl6a
181,ORBvl6b
182,AId1
183,AId2/3
184,AId5
185,AId6a
186,AId6b
187,AIp1
188,AIp2/3
189,AIp5
190,AIp6a
191,AIp6b
192,AIv1
193,AIv2/3
194,AIv5
195,AIv6a
196,AIv6b
197,RSPagl1
198,RSPagl2/3
199,RSPagl5
200,RSPagl6a
201,RSPagl6b
202,RSPd1
203,RSPd2/3
204,RSPd4
205,RSPd5
206,RSPd6a
207,RSPd6b
208,RSPv1
209,RSPv2/3
210,RSPv5
211,RSPv6a
212,RSPv6b
213,VISa1
214,VISa2/3
215,VISa4
216,VISa5
217,VISa6a
218,VISa6b
219,VISrl1
220,VISrl2/3
221,VISrl4
222,VISrl5
223,VISrl6a
224,VISrl6b
225,TEa1
226,TEa2/3
227,TEa4
228,TEa5
229,TEa6a
230,TEa6b
231,PERI1
232,PERI2/3
233,PERI5
234,PERI6a
235,PERI6b
236,ECT1
237,ECT2/3
238,ECT5
239,ECT6a
240,ECT6b
241,MOB
242,AOBgl
243,AOBgr
244,AOBmi
245,AON
246,TTd
247,TTv
248,DP
249,PIR
250,NLOT1
251,NLOT2
252,NLOT3
253,COAa
254,COApl
255,COApm
256,PAA
257,TR
258,CA1
259,CA2
260,CA3
261,DG-mo
262,DG-po
263,DG-sg
264,FC
265,IG
266,ENTl1
267,ENTl2
268,ENTl3
269,ENTl5
270,ENTl6a
271,ENTm1
272,ENTm2
273,ENTm3
274,ENTm5
275,ENTm6
276,PAR
277,POST
278,PRE
279,SUB
280,ProS
281,HATA
282,APr
283,CLA
284,EPd
285,EPv
286,LA
287,BLAa
288,BLAp
289,BLAv
290,BMAa
291,BMAp
292,PA
293,CP
294,ACB
295,FS
296,OT
297,LSc
298,LSr
299,LSv
300,SF
301,SH
302,AAA
303,BA
304,CEAc
305,CEAl
306,CEAm
307,IA
308,MEA
309,GPe
310,GPi
311,SI
312,MA
313,MS
314,NDB
315,TRS
316,BST
317,BAC
318,VAL
319,VM
320,VPL
321,VPLpc
322,VPM
323,VPMpc
324,PoT
325,SPFm
326,SPFp
327,SPA
328,PP
329,MGd
330,MGv
331,MGm
332,LGd-sh
333,LGd-co
334,LGd-ip
335,LP
336,PO
337,POL
338,SGN
339,Eth
340,AV
341,AMd
342,AMv
343,AD
344,IAM
345,IAD
346,LD
347,IMD
348,MD
349,SMT
350,PR
351,PVT
352,PT
353,RE
354,Xi
355,RH
356,CM
357,PCN
358,CL
359,PF
360,PIL
361,RT
362,IGL
363,IntG
364,LGv
365,SubG
366,MH
367,LH
368,SO
369,ASO
370,PVH
371,PVa
372,PVi
373,ARH
374,ADP
375,AVP
376,AVPV
377,DMH
378,MEPO
379,MPO
380,OV
381,PD
382,PS
383,PVp
384,PVpo
385,SBPV
386,SCH
387,SFO
388,VMPO
389,VLPO
390,AHN
391,LM
392,MMme
393,MMl
394,MMm
395,MMp
396,MMd
397,SUM
398,TMd
399,TMv
400,MPN
401,PMd
402,PMv
403,PVHd
404,VMH
405,PH
406,LHA
407,LPO
408,PST
409,PSTN
410,PeF
411,RCH
412,STN
413,TU
414,FF
415,ME
416,SCop
417,SCsg
418,SCzo
419,ICc
420,ICd
421,ICe
422,NB
423,SAG
424,PBG
425,MEV
426,SCO
427,SNr
428,VTA
429,PN
430,RR
431,MRN
432,SCdg
433,SCdw
434,SCiw
435,SCig
