,acronym
0,AAA
1,ACAd
2,ACAv
3,ACB
4,AD
5,ADP
6,AHN
7,AId
8,AIp
9,AIv
10,AM
11,AMB
12,ANcr1
13,ANcr2
14,AOB
15,AON
16,AP
17,APN
18,APr
19,ARH
20,AT
21,AUDd
22,AUDp
23,AUDpo
24,AUDv
25,AV
26,AVP
27,AVPV
28,Acs5
29,B
30,BA
31,BLA
32,BMA
33,BST
34,CA1
35,CA2
36,CA3
37,CEA
38,CENT2
39,CENT3
40,CL
41,CLA
42,CLI
43,CM
44,COAa
45,COAp
46,COPY
47,CP
48,CS
49,CU
50,CUN
51,DCO
52,DEC
53,DG
54,DMH
55,DMX
56,DN
57,DP
58,DR
59,DT
60,DTN
61,ECT
62,ECU
63,ENTl
64,ENTm
65,EPd
66,EPv
67,EW
68,Eth
69,FC
70,FL
71,FN
72,FOTU
73,FRP
74,FS
75,GPe
76,GPi
77,GR
78,GRN
79,GU
80,HATA
81,I5
82,IA
83,IAD
84,IAM
85,IC
86,ICB
87,IF
88,IG
89,IGL
90,III
91,ILA
92,IMD
93,IO
94,IP
95,IPN
96,IRN
97,ISN
98,IV
99,IntG
100,LA
101,LAV
102,LC
103,LD
104,LDT
105,LGd
106,LGv
107,LH
108,LHA
109,LIN
110,LING
111,LM
112,LP
113,LPO
114,LRN
115,LSc
116,LSr
117,LSv
118,LT
119,MA
120,MA3
121,MARN
122,MD
123,MDRN
124,MEA
125,MEPO
126,MG
127,MH
128,MM
129,MOB
130,MOp
131,MOs
132,MPN
133,MPO
134,MPT
135,MRN
136,MS
137,MT
138,MV
139,NB
140,NDB
141,NI
142,NLL
143,NLOT
144,NOD
145,NOT
146,NPC
147,NR
148,NTB
149,NTS
150,OP
151,ORBl
152,ORBm
153,ORBvl
154,OT
155,P5
156,PA
157,PAA
158,PAG
159,PAR
160,PARN
161,PAS
162,PB
163,PBG
164,PC5
165,PCG
166,PCN
167,PDTg
168,PERI
169,PF
170,PFL
171,PG
172,PGRN
173,PH
174,PIL
175,PIR
176,PL
177,PMd
178,PMv
179,PN
180,PO
181,POL
182,POST
183,PP
184,PPN
185,PPT
186,PPY
187,PR
188,PRE
189,PRM
190,PRNc
191,PRNr
192,PRP
193,PS
194,PSTN
195,PSV
196,PT
197,PVH
198,PVHd
199,PVT
200,PVa
201,PVi
202,PVp
203,PVpo
204,PYR
205,Pa4
206,Pa5
207,PeF
208,PoT
209,ProS
210,RCH
211,RE
212,RH
213,RL
214,RM
215,RN
216,RO
217,RPA
218,RPF
219,RPO
220,RR
221,RSPagl
222,RSPd
223,RSPv
224,RT
225,SAG
226,SBPV
227,SCH
228,SCm
229,SCs
230,SF
231,SFO
232,SG
233,SGN
234,SH
235,SI
236,SIM
237,SLC
238,SLD
239,SMT
240,SNc
241,SNr
242,SO
243,SOC
244,SPA
245,SPF
246,SPIV
247,SPVC
248,SPVI
249,SPVO
250,SSp-bfd
251,SSp-ll
252,SSp-m
253,SSp-n
254,SSp-tr
255,SSp-ul
256,SSp-un
257,SSs
258,STN
259,SUB
260,SUM
261,SUT
262,SUV
263,SubG
264,TEa
265,TM
266,TR
267,TRN
268,TRS
269,TTd
270,TTv
271,TU
272,UVU
273,V
274,VAL
275,VCO
276,VI
277,VII
278,VISC
279,VISa
280,VISal
281,VISam
282,VISl
283,VISli
284,VISp
285,VISpl
286,VISpm
287,VISpor
288,VISrl
289,VLPO
290,VM
291,VMH
292,VMPO
293,VPL
294,VPLpc
295,VPM
296,VPMpc
297,VTA
298,VTN
299,VeCB
300,XII
301,Xi
302,ZI
303,x
304,y
